"token","n"
"sharp",5
"smart",5
"smelled",5
"stuck",5
"trouble",5
"trump",5
"trust",5
"twist",5
"ugh",5
"upset",5
"wasted",5
"weak",5
"weed",5
"wins",5
"afraid",4
"appreciate",4
"awful",4
"biting",4
"bless",4
"bribery",4
"charismatic",4
"cheaply",4
"comfortably",4
"complex",4
"confident",4
"confusing",4
"crashed",4
"creaks",4
"crisp",4
"darling",4
"defeat",4
"deserving",4
"dies",4
"disaster",4
"downside",4
"drag",4
"drastically",4
"easier",4
"effectiveness",4
"enjoyable",4
"fails",4
"forsake",4
"freaking",4
"frightening",4
"ftw",4
"genuine",4
"goodness",4
"haggard",4
"happier",4
"holy",4
"idiot",4
"impertinent",4
"improvement",4
"incredible",4
"indulgent",4
"injury",4
"jarring",4
"kudos",4
"magical",4
"masterpieces",4
"memorable",4
"mess",4
"modern",4
"modest",4
"polite",4
"prefer",4
"proud",4
"rational",4
"recover",4
"recovery",4
"rude",4
"skill",4
"slowly",4
"sore",4
"static",4
"strike",4
"sufficient",4
"tainted",4
"tickle",4
"torture",4
"underestimate",4
"unfortunately",4
"upgraded",4
"warped",4
"weird",4
"worthwhile",4
"abrupt",3
"accessable",3
"amusing",3
"angel",3
"approval",3
"beautifully",3
"believable",3
"bent",3
"biased",3
"blossom",3
"boil",3
"boiling",3
"breakthrough",3
"concern",3
"concerned",3
"correct",3
"crime",3
"crisis",3
"criticism",3
"crook",3
"crush",3
"denied",3
"destroy",3
"died",3
"disbelief",3
"distinction",3
"distracting",3
"dope",3
"dynamic",3
"excuse",3
"faith",3
"falling",3
"famous",3
"fascinating",3
"fault",3
"flawed",3
"flawlessly",3
"fried",3
"frustrating",3
"gem",3
"generous",3
"goood",3
"gratitude",3
"helping",3
"idle",3
"inconsistent",3
"incredibly",3
"insults",3
"integrated",3
"invincible",3
"joy",3
"kindness",3
"lead",3
"leak",3
"leaks",3
"led",3
"lie",3
"magic",3
"merrily",3
"merry",3
"miserable",3
"mistake",3
"mistakes",3
"mystery",3
"nasty",3
"odd",3
"offensive",3
"outstanding",3
"powerful",3
"productive",3
"profound",3
"progress",3
"protection",3
"racism",3
"racist",3
"reliably",3
"ripped",3
"risk",3
"saver",3
"savior",3
"scary",3
"sensitive",3
"smells",3
"smoke",3
"spoiled",3
"stranger",3
"stubborn",3
"successfully",3
"sucker",3
"supporting",3
"symptoms",3
"talented",3
"tank",3
"tardy",3
"tough",3
"trash",3
"uneasy",3
"unwelcome",3
"vain",3
"villainous",3
"vulgar",3
"wayward",3
"wild",3
"wise",3
"wisely",3
"worries",3
"worry",3
"worst",3
"worthless",3
"abysmal",2
"acclaimed",2
"advantageous",2
"advantages",2
"amazingly",2
"angry",2
"annoys",2
"appreciated",2
"atrocious",2
"attentive",2
"authentic",2
"awesomeness",2
"balanced",2
"beauty",2
"bitter",2
"blame",2
"blind",2
"breaking",2
"brilliantly",2
"bulky",2
"burning",2
"burns",2
"cancer",2
"caustic",2
"chatter",2
"cheated",2
"cheesy",2
"chill",2
"cloudy",2
"comforting",2
"confidence",2
"conflicting",2
"congratulations",2
"conservative",2
"constructive",2
"convenient",2
"crack",2
"danger",2
"dawn",2
"delightful",2
"demonize",2
"depression",2
"disadvantaged",2
"disgusting",2
"dissing",2
"dizzy",2
"doubt",2
"downhill",2
"emergency",2
"enchant",2
"excuses",2
"exquisite",2
"failed",2
"fairly",2
"faithful",2
"false",2
"fastest",2
"fav",2
"favor",2
"freaks",2
"frustrated",2
"frustration",2
"fudge",2
"gained",2
"geeky",2
"genius",2
"grand",2
"greatest",2
"grieve",2
"guilt",2
"handicapped",2
"happiness",2
"hater",2
"hatred",2
"haunt",2
"hero",2
"honor",2
"hooray",2
"horrified",2
"horrifying",2
"humming",2
"humor",2
"hurting",2
"hype",2
"hypocrisy",2
"idiotic",2
"idiots",2
"ignorant",2
"ignore",2
"impeccable",2
"impede",2
"implode",2
"impossible",2
"incompetent",2
"inconsiderate",2
"incorrectly",2
"inefficient",2
"inevitable",2
"insane",2
"intense",2
"jealous",2
"jerk",2
"lacking",2
"lawless",2
"leaking",2
"liberty",2
"liking",2
"limit",2
"loser",2
"loss",2
"lover",2
"luxury",2
"menace",2
"miscreants",2
"monumental",2
"moron",2
"motley",2
"mysterious",2
"needy",2
"negative",2
"nicely",2
"nightmare",2
"noteworthy",2
"offensively",2
"opponent",2
"opposition",2
"optimistic",2
"overpriced",2
"painful",2
"peaceful",2
"penalty",2
"perfection",2
"pity",2
"pointless",2
"praising",2
"precious",2
"privileged",2
"proper",2
"prosperity",2
"protest",2
"proven",2
"quicker",2
"randomly",2
"relaxed",2
"relief",2
"resistance",2
"retard",2
"ridiculously",2
"rough",2
"rusty",2
"sarcasm",2
"savage",2
"severe",2
"sinister",2
"skeptical",2
"skepticism",2
"skilled",2
"smile",2
"smoother",2
"splitting",2
"stale",2
"strange",2
"stumbled",2
"sturdy",2
"suffers",2
"suicide",2
"supported",2
"supports",2
"supremacy",2
"talents",2
"tempting",2
"thankful",2
"thrilled",2
"tidy",2
"tops",2
"tremendously",2
"tricky",2
"ugly",2
"unacceptable",2
"unbelievable",2
"uncomfortable",2
"undue",2
"unhappy",2
"unimportant",2
"unusual",2
"utterly",2
"violent",2
"vomit",2
"whining",2
"whore",2
"wonderfully",2
"woo",2
"worrying",2
"yawn",2
"aborts",1
"abuse",1
"accomplished",1
"accurately",1
"ache",1
"addicting",1
"advanced",1
"affinity",1
"affirmative",1
"afford",1
"anxiously",1
"appalling",1
"arrogantly",1
"authoritarian",1
"awarded",1
"awards",1
"awkward",1
"bash",1
"bias",1
"blasphemy",1
"blessing",1
"blow",1
"bonuses",1
"boom",1
"breach",1
"breeze",1
"brotherly",1
"brutal",1
"bs",1
"bug",1
"bugging",1
"burn",1
"catchy",1
"cautionary",1
"checkered",1
"cleaner",1
"clears",1
"cloud",1
"collapse",1
"comfy",1
"compatible",1
"complained",1
"complicated",1
"conflict",1
"confused",1
"conspiracy",1
"contaminating",1
"cowardly",1
"cracked",1
"cramp",1
"crash",1
"crazily",1
"creep",1
"creepy",1
"cringe",1
"cripple",1
"crooked",1
"crowded",1
"cry",1
"decency",1
"defensive",1
"delay",1
"delight",1
"delusion",1
"delusional",1
"depressing",1
"deter",1
"devil",1
"diabolical",1
"dick",1
"die",1
"difficulties",1
"dirt",1
"disadvantages",1
"disagree",1
"disgraceful",1
"disgusted",1
"dissent",1
"dread",1
"dripping",1
"drones",1
"drunk",1
"ease",1
"educated",1
"encourage",1
"enemies",1
"enemy",1
"energetic",1
"engaging",1
"enjoyment",1
"entertaining",1
"enthusiasm",1
"entice",1
"err",1
"exaggerate",1
"exceeds",1
"excels",1
"excitement",1
"expel",1
"extremist",1
"fail",1
"falls",1
"famine",1
"fancy",1
"fatty",1
"fave",1
"fears",1
"feint",1
"feisty",1
"fist",1
"flair",1
"flak",1
"flattering",1
"flaw",1
"flaws",1
"foolish",1
"fortune",1
"foul",1
"fragile",1
"freedom",1
"frost",1
"frozen",1
"furious",1
"fuss",1
"gain",1
"gains",1
"gangster",1
"genocide",1
"gibberish",1
"gimmick",1
"gimmicky",1
"glare",1
"goofy",1
"gorgeous",1
"grace",1
"grateful",1
"greatness",1
"grief",1
"guilty",1
"handy",1
"happily",1
"hardy",1
"haste",1
"hateful",1
"headache",1
"heal",1
"healthy",1
"heaven",1
"helped",1
"heroine",1
"hilarious",1
"hug",1
"humble",1
"hung",1
"illusions",1
"improve",1
"improving",1
"inappropriately",1
"incite",1
"incomprehensible",1
"ineptly",1
"inexperience",1
"inflated",1
"infuriated",1
"inhumane",1
"insanely",1
"instantly",1
"insulted",1
"insulting",1
"intelligence",1
"irritating",1
"jam",1
"jerky",1
"kaput",1
"keen",1
"killer",1
"lacks",1
"lame",1
"leads",1
"lemon",1
"lied",1
"limitation",1
"louder",1
"lovable",1
"loyalty",1
"lukewarm",1
"madness",1
"malice",1
"manipulation",1
"meager",1
"menacing",1
"messed",1
"messes",1
"messing",1
"mirage",1
"monotonous",1
"monster",1
"moody",1
"moronic",1
"murderer",1
"murky",1
"neat",1
"object",1
"oblivious",1
"obscure",1
"obsolete",1
"optimism",1
"ovation",1
"overdue",1
"painfully",1
"pales",1
"panicking",1
"patience",1
"perplexing",1
"persevere",1
"petty",1
"picky",1
"pigs",1
"pleasantly",1
"pleasing",1
"pleasure",1
"poorly",1
"posh",1
"praise",1
"precarious",1
"preferably",1
"prefered",1
"prize",1
"promise",1
"propaganda",1
"radiant",1
"ranting",1
"raped",1
"rattle",1
"recommendation",1
"redeeming",1
"reform",1
"refreshing",1
"refused",1
"remarkable",1
"remorse",1
"renewed",1
"renowned",1
"respectful",1
"revel",1
"rightful",1
"risky",1
"rocky",1
"rollercoaster",1
"romantic",1
"ruin",1
"ruined",1
"ruthless",1
"sadly",1
"sadness",1
"sane",1
"savings",1
"scam",1
"scenic",1
"scolding",1
"screwed",1
"secure",1
"selfish",1
"sever",1
"shambles",1
"shine",1
"shiny",1
"shocked",1
"shoddy",1
"sickening",1
"silent",1
"silly",1
"skinny",1
"slander",1
"slaves",1
"sloooow",1
"slower",1
"smelling",1
"smiles",1
"smooth",1
"smudged",1
"smug",1
"soft",1
"sorrow",1
"spank",1
"spectacular",1
"spews",1
"stellar",1
"stiff",1
"stink",1
"stolen",1
"stress",1
"stricken",1
"strident",1
"stronger",1
"struck",1
"struggling",1
"successful",1
"swagger",1
"swipe",1
"tension",1
"terrific",1
"thirst",1
"thrift",1
"torrent",1
"tortured",1
"trashed",1
"unclear",1
"unconvincing",1
"unemployed",1
"unfamiliar",1
"unforgettable",1
"unlikely",1
"unprepared",1
"unreasonable",1
"upbeat",1
"useless",1
"victorious",1
"virtue",1
"virus",1
"vomited",1
"warning",1
"whoa",1
"wholesome",1
"winning",1
"worthy",1
