"token","n"
"unbelievable",11
"users",11
"usual",11
"wantbuyfloating",11
"wasteneed",11
"whilewere",11
"yesterday",11
"anytyingnything",10
"attack",10
"bet",10
"broke",10
"chair",10
"charge",10
"clasp",10
"cold",10
"cracks",10
"crisis",10
"donÌt",10
"double",10
"driving",10
"eeek",10
"emergency",10
"eyes",10
"friendly",10
"goingpretenddidn",10
"grab",10
"havingrumble",10
"heart",10
"helpanytyingnything",10
"history",10
"holes",10
"howcanytyingn",10
"idea",10
"integrity",10
"july",10
"likesaw",10
"magritte",10
"meds",10
"monitoring",10
"music",10
"neighborhoods",10
"nobody",10
"nowcan",10
"pit",10
"public",10
"remember",10
"resources",10
"route",10
"send",10
"several",10
"sewers",10
"shelters",10
"smell",10
"somenehe",10
"someneomethingit",10
"tainted",10
"talk",10
"tasty",10
"theseare",10
"tho",10
"thrilling",10
"timeuse",10
"trapped",10
"true",10
"turbines",10
"uncle",10
"unit",10
"waterrunplant",10
"weather",10
"wilson",10
"youÌre",10
"activatedsomethinganythingshefromtheyhesomething",9
"aid",9
"amp",9
"anyoneit",9
"break",9
"bribery",9
"buy",9
"byfire",9
"clack",9
"collecting",9
"crack",9
"cream",9
"defeat",9
"defectehys",9
"diapers",9
"drive",9
"dying",9
"enoug",9
"excited",9
"expensivebuild",9
"expes",9
"face",9
"fast",9
"flap",9
"full",9
"give",9
"goingsnatch",9
"goinguse",9
"goquake",9
"greenhouse",9
"guess",9
"happened",9
"hard",9
"hcover",9
"headed",9
"headset",9
"hecko",9
"hour",9
"hwereparked",9
"inhallways",9
"inspectehyions",9
"intehyegritehyy",9
"inusers",9
"isreally",9
"ithge",9
"makeinsee",9
"manager",9
"meget",9
"motors",9
"multi",9
"noh",9
"number",9
"offphone",9
"ofraod",9
"oil",9
"onside",9
"onstreet",9
"ontheysomething",9
"outhouses",9
"pensions",9
"poor",9
"powered",9
"problem",9
"quote",9
"recovery",9
"rule",9
"runningtree",9
"saying",9
"schnikies",9
"seen",9
"sgreat",9
"shirt",9
"shirtless",9
"since",9
"situation",9
"social",9
"someonesays",9
"somethingthey",9
"sooner",9
"sooo",9
"spot",9
"strike",9
"supplies",9
"suppoersthey",9
"susani",9
"talking",9
"taxi",9
"tehhey",9
"tehyestehying",9
"temporary",9
"ten",9
"thatbow",9
"theysomeone",9
"theysomething",9
"threatening",9
"tjheo",9
"top",9
"totally",9
"treatbroken",9
"untilhappens",9
"update",9
"warseas",9
"westit",9
"whennext",9
"willdo",9
"window",9
"wires",9
"world",9
"yay",9
"year",9
"ytouou",9
"activatedsomethinganythingshefromthey",8
"aliens",8
"amazing",8
"apa",8
"appexceptional",8
"appmarvelous",8
"atmiddle",8
"audience",8
"believe",8
"bike",8
"bitten",8
"blood",8
"boil",8
"bottled",8
"broadview",8
"bycollar",8
"care",8
"carnival",8
"cause",8
"chance",8
"cheap",8
"chicken",8
"collaboration",8
"contruction",8
"critical",8
"destroyed",8
"diarrhea",8
"doo",8
"downtown",8
"early",8
"eat",8
"efficient",8
"feels",8
"ferrets",8
"francisodaggins",8
"getpatriot",8
"gettingrumble",8
"gotbest",8
"guy",8
"head",8
"heavy",8
"hole",8
"human",8
"ill",8
"impressed",8
"inburn",8
"inhimarkseismic",8
"inparkign",8
"intensity",8
"jsutust",8
"later",8
"liukeike",8
"lucy",8
"main",8
"marketplace",8
"mayor",8
"meal",8
"mine",8
"money",8
"mouthed",8
"ofmoving",8
"ofplace",8
"ofquaking",8
"org",8
"percent",8
"pipe",8
"planet",8
"porches",8
"pressure",8
"pronto",8
"publicradio",8
"quality",8
"reactors",8
"realize",8
"rides",8
"safeoffhomeward",8
"saved",8
"schismsholes",8
"serious",8
"shopping",8
"shudder",8
"sick",8
"sitting",8
"slower",8
"someonesomethingit",8
"somethingonline",8
"source",8
"staying",8
"steak",8
"street",8
"stretchers",8
"syasaysyas",8
"system",8
"teho",8
"thinkwill",8
"thorium",8
"timeput",8
"tobridge",8
"together",8
"tranky",8
"trouble",8
"tryingfindshelteritmissing",8
"ugh",8
"verbal",8
"visiting",8
"want",8
"went",8
"whenstarted",8
"whofighting",8
"withshe",8
"wohrisk",8
"„<U+0095>s",7
"allradiation",7
"along",7
"alwayslittle",7
"anyoneanyone",7
"anyonesomeone",7
"anyonesomethingsomeone",7
"anywhere",7
"appgreat",7
"applauded",7
"appraiser",7
"area",7
"asdoesn",7
"athouse",7
"atoffice",7
"available",7
"bathroom",7
"biancai",7
"bikingwork",7
"blog",7
"bridgesiesearthquake",7
"bum",7
"buses",7
"byneighborhood",7
"canÌt",7
"canjust",7
"cast",7
"cheryl",7
"civil",7
"clouds",7
"coal",7
"comfortable",7
"common",7
"constitutes",7
"country‚<U+0095>",7
"crumbling",7
"demolished",7
"digest",7
"disappointed",7
"disasters",7
"dish",7
"dollar",7
"door",7
"dozen",7
"drink",7
"easton",7
"eeeek",7
"especially",7
"essential",7
"exploding",7
"favor",7
"feared",7
"felt",7
"feltshuddering",7
"fires",7
"flies",7
"flood",7
"flooded",7
"forinsurance",7
"formula",7
"four",7
"future",7
"given",7
"god",7
"government",7
"govibrate",7
"gradual",7
"ground",7
"guys",7
"hairs",7
"hand",7
"haslot",7
"hears",7
"highest",7
"htishis",7
"ifdon",7
"impressive",7
"incar",7
"incountry",7
"inonitgrew",7
"inpark",7
"intotocean",7
"inves",7
"iscoffee",7
"isgrowing",7
"kind",7
"land",7
"leg",7
"major",7
"may",7
"mugger",7
"offpimento",7
"onlines",7
"ontheyanyonesomethingsomeonenow",7
"ornuclear",7
"others",7
"overplace",7
"plans",7
"powercan",7
"powernear",7
"pump",7
"pwoerower",7
"ran",7
"rattle",7
"read",7
"real",7
"recommend",7
"reduction",7
"relatethem",7
"safeoffauspiciuos",7
"saroundnuclear",7
"scene",7
"seeping",7
"sharp",7
"shop",7
"short",7
"sites",7
"smoke",7
"snatchingrumble",7
"someonestehyructehyural",7
"ssinkhole",7
"starts",7
"super",7
"susan",7
"syndicated",7
"tag",7
"tathhatath",7
"tehyhe",7
"theyÌre",7
"thtotalled",7
"tickets",7
"tiles",7
"townnorthwest",7
"trip",7
"tyheo",7
"understood",7
"upgrading",7
"upstreet",7
"wanna",7
"yeah",7
"yuor",7
"ac",6
"access",6
"ahevave",6
"ambulance",6
"areas",6
"ateh",6
"athge",6
"atmarina",6
"atof",6
"atofshe",6
"atsame",6
"aunt",6
"backed",6
"bar",6
"beforefell",6
"bombs",6
"boo",6
"breakfast",6
"bridges",6
"bring",6
"buddy",6
"bugbears",6
"byelementary",6
"byforelock",6
"byhorns",6
"bypizza",6
"byshort",6
"bywheel",6
"camping",6
"candles",6
"canker",6
"caps",6
"changereal",6
"character",6
"cheese",6
"click",6
"couch",6
"covered",6
"cute",6
"dangling",6
"debris",6
"defectyhes",6
"delicious",6
"didnt",6
"digging",6
"dinner",6
"distribution",6
"doghearted",6
"dollars",6
"drinking",6
"ellachang",6
"energynot",6
"facility",6
"fact",6
"fallingtaking",6
"feltquaking",6
"feltvibrating",6
"feltwobbling",6
"fence",6
"fit",6
"flash",6
"flax",6
"flirt",6
"foods",6
"foris",6
"generations",6
"gotremble",6
"griping",6
"guiser",6
"haha",6
"haveinformed",6
"havestopped",6
"headsets",6
"henry",6
"hesomething",6
"hills",6
"historical",6
"homes",6
"hopedoesn",6
"horn",6
"huge",6
"hurt",6
"incity",6
"inparks",6
"inspectyheions",6
"instead",6
"instreet",6
"intyheegrityhey",6
"istsunami",6
"itfor",6
"itsomething",6
"kristen",6
"livered",6
"lookinggo",6
"lovely",6
"luck",6
"lumpish",6
"makes",6
"making",6
"meimaginedplates",6
"menu",6
"mess",6
"mittens",6
"mrs",6
"naomi",6
"naturalsomeneomething",6
"nature",6
"ofbest",6
"offrest",6
"ofhour",6
"oflithuanian",6
"ofruble",6
"ofruined",6
"ofsomeneomething",6
"ones",6
"onsafety",6
"outage",6
"pig",6
"pipedry",6
"pits",6
"police",6
"pomelo",6
"potable",6
"predicted",6
"price",6
"prices",6
"product",6
"quite",6
"renewables",6
"requiremulti",6
"rude",6
"safer",6
"sbig",6
"sea",6
"seeall",6
"setting",6
"shefromthey",6
"shefromtheybound",6
"soare",6
"someonestyheructyheural",6
"standing",6
"starting",6
"stat",6
"stimulating",6
"stores",6
"story",6
"streets",6
"stuck",6
"sucks",6
"supply",6
"survival",6
"test",6
"tgheo",6
"theres",6
"thgehey",6
"thoguht",6
"timepack",6
"timesnatch",6
"togrocery",6
"toplanetall",6
"tyheestyheing",6
"weremyth",6
"wet",6
"windows",6
"wishstill",6
"wishwas",6
"witted",6
"worried",6
"ablerepair",5
"across",5
"adnre",5
"anbd",5
"andd",5
"anytyingnd",5
"anytyingnyone",5
"apartment",5
"areall",5
"arebowls",5
"areout",5
"arg",5
"astonishing",5
"aswalk",5
"atapartment",5
"atcondo",5
"atmosphere",5
"awesome",5
"basementflooded",5
"belt",5
"book",5
"born",5
"boyfriend",5
"builta",5
"buried",5
"butcan",5
"butis",5
"bylibrary",5
"calls",5
"calm",5
"carry",5
"cars",5
"catladykyliecrane",5
"chaning",5
"china",5
"claimbe",5
"collapse",5
"con",5
"construction",5
"cooperation",5
"country",5
"court",5
"coverage",5
"coxcomb",5
"crying",5
"curfew",5
"development",5
"diana",5
"died",5
"disconnected",5
"doesnt",5
"dreams",5
"due",5
"ear",5
"earlier",5
"earpieces",5
"earthquakesflood",5
"eeeeeek",5
"emerging",5
"emily",5
"equipment",5
"everythingfalling",5
"explainbackup",5
"explainpower",5
"eyed",5
"favorite",5
"feltquivering",5
"fidnind",5
"floor",5
"foodwater",5
"fossil",5
"frames",5
"fromquake",5
"gaited",5
"georgina",5
"goes",5
"goingtry",5
"grade",5
"haggard",5
"hahaha",5
"harpy",5
"hedge",5
"helpful",5
"highway",5
"highwayclosed",5
"hook",5
"hooks",5
"hteyo",5
"hygiene",5
"ifalso",5
"ifhave",5
"inmiddle",5
"inonit",5
"inwhen",5
"isabellai",5
"islot",5
"isonly",5
"iswater",5
"ittheyanyonesomethingsomeone",5
"itvery",5
"ive",5
"jam",5
"jarring",5
"jordanwantsbac",5
"justeh",5
"leastpower",5
"lets",5
"liekike",5
"loadng",5
"local",5
"loved",5
"lunch",5
"mammering",5
"mammet",5
"maristsomeonenewest",5
"means",5
"measle",5
"meimaginedbeds",5
"meimaginedend",5
"meimaginedpans",5
"meimaginedwalls",5
"melting",5
"michecke",5
"mike",5
"milk",5
"mistaken",5
"mojitos",5
"mroeore",5
"needs",5
"neighborÌs",5
"nicholas",5
"nite",5
"nofearcher",5
"nope",5
"nottheory",5
"noweow",5
"ofbetter",5
"office",5
"officially",5
"oftheyan",5
"ofwobbling",5
"onear",5
"onleftedy",5
"onthe",5
"ontheysomethingit",5
"opposition",5
"outhouse",5
"overworld",5
"parakeet",5
"pated",5
"patients",5
"peapleeopeaplele",5
"piece",5
"plantoff",5
"plot",5
"possible",5
"post",5
"problemthat",5
"prosperity",5
"provided",5
"purchase",5
"quiver",5
"radioactive",5
"rained",5
"rdcollecting",5
"ready",5
"reduced",5
"reflection",5
"report",5
"rich",5
"ripped",5
"rockyflame",5
"safeofforange",5
"sat",5
"sawpower",5
"scammed",5
"scattered",5
"schools",5
"scut",5
"seeingpower",5
"seemsbe",5
"seepans",5
"sees",5
"seven",5
"shattered",5
"show",5
"showed",5
"sign",5
"simulating",5
"skeptical",5
"sleeping",5
"smart",5
"snouted",5
"solar",5
"someonedrill",5
"someonenewest",5
"somethignshing",5
"somethingadopt",5
"somethinghesomeone",5
"soomreething",5
"state",5
"stink",5
"stopped",5
"study",5
"suchtraffic",5
"sushi",5
"taking",5
"tardy",5
"tea",5
"teams",5
"thatcould",5
"thatknows",5
"theyheit",5
"theyis",5
"thgathathgat",5
"thge",5
"thgehere",5
"thingdo",5
"thinking",5
"throughshopping",5
"thsihis",5
"ti",5
"tillenbottom",5
"tilted",5
"tired",5
"touch",5
"treatcontusions",5
"tried",5
"trust",5
"try",5
"trying",5
"tryingnot",5
"tryingrollerskate",5
"tyherees",5
"university",5
"unsafe",5
"urchin",5
"vacation",5
"wait",5
"wasted",5
"watching",5
"weasas",5
"weird",5
"weirdseesky",5
"weremess",5
"west",5
"whithith",5
"wish",5
"woke",5
"wondering",5
"wouldbotherputsidealk",5
"wouldrather",5
"wrong",5
"zones",5
"abandon",4
"aboutfine",4
"aboutsewers",4
"aboutshm",4
"acting",4
"activatedsomethinganythingshefromtheynear",4
"actually",4
"added",4
"adn",4
"air",4
"alert",4
"alexisi",4
"allbawdy",4
"allfrothy",4
"allhave",4
"allwayboil",4
"anai",4
"anguishsuffering",4
"anyonehe",4
"anytehhing",4
"apocalypse",4
"apple",4
"areastartinglooklot",4
"arechairs",4
"areglarsees",4
"arelot",4
"arseessment",4
"artists",4
"arund",4
"ate",4
"atshe",4
"awhileclean",4
"awning",4
"backwork",4
"baggage",4
"barnacle",4
"bartender",4
"beforecould",4
"beloved",4
"bengeing",4
"bird",4
"black",4
"blankets",4
"bluetooth",4
"boots",4
"boxes",4
"brained",4
"bread",4
"brutal",4
"budget",4
"butam",4
"butrobo",4
"bycity",4
"byrestaurant",4
"bythroat",4
"callers",4
"camp",4
"candicei",4
"candrinkwater",4
"canwall",4
"cards",4
"careful",4
"caseswould",4
"centergoingopen",4
"chemistry",4
"chris",4
"church",4
"cidyi",4
"ciloflame",4
"cityhss",4
"clarse",4
"clean",4
"cleaning",4
"clear",4
"collection",4
"comemy",4
"communication",4
"commute",4
"consequences",4
"considers",4
"control",4
"convention",4
"convoys",4
"course",4
"cover",4
"crashed",4
"crowds",4
"currish",4
"damageschool",4
"david",4
"debit",4
"deffinitely",4
"designed",4
"destrotyed",4
"details",4
"disrupts",4
"documentarieshave",4
"doeshe",4
"doknow",4
"dotalkto",4
"drain",4
"dreamed",4
"dressing",4
"earthquakegoingamidstof",4
"eaten",4
"edge",4
"elementary",4
"escort",4
"established",4
"eusticei",4
"ex",4
"excellent",4
"exchange",4
"extra",4
"extremely",4
"fair",4
"families",4
"fantastic",4
"fatalitiesyas",4
"feature",4
"fed",4
"federal",4
"feelshake",4
"fighting",4
"floodtheybut",4
"fo",4
"folks",4
"following",4
"forfew",4
"forprice",4
"forspecial",4
"forwhile",4
"fromanyone",4
"fromanyoneforofit",4
"fromlooks",4
"fromthey",4
"front",4
"funny",4
"games",4
"garden",4
"gardening",4
"gem",4
"gets",4
"giglet",4
"gills",4
"goinggetnice",4
"goingmakedownstreet",4
"growing",4
"guard",4
"halfroaddrivable",4
"happyspreadword",4
"hated",4
"heanyone",4
"heguys",4
"helponway",4
"heoffers",4
"herereportthat",4
"himarkhss",4
"hmmm",4
"horror",4
"hospitals",4
"hospitehal",4
"hot",4
"hteyhe",4
"humongous",4
"hydrofracking",4
"ifare",4
"iÌll",4
"inanyone",4
"informtiont",4
"inhospital",4
"insimilar",4
"insurance",4
"int",4
"intheatres",4
"isbowl",4
"isjustice",4
"ismeltdown",4
"isnews",4
"istrue",4
"isvery",4
"isworst",4
"ittheysupposo",4
"itunes",4
"itwas",4
"john",4
"joshua",4
"jstuust",4
"jump",4
"keeps",4
"kinda",4
"kitchens",4
"kits",4
"knees",4
"knew",4
"knotty",4
"lamp",4
"late",4
"lead",4
"lean",4
"leastsidewalkmostly",4
"liekjigsaw",4
"light",4
"lightingjust",4
"likeare",4
"likemarsh",4
"likes",4
"liquid",4
"literallyfiguratively",4
"louisa",4
"loving",4
"lucky",4
"makefeelcharacter",4
"maristsomeone",4
"mean",4
"meanwhile",4
"media",4
"medicine",4
"meimaginedbowls",4
"meimaginedglarsees",4
"message",4
"mill",4
"moldwarp",4
"months",4
"mostly",4
"movemonday",4
"mudgetting",4
"muggers",4
"nation",4
"natural",4
"needreconnectwires",4
"nervermind",4
"newsyas",4
"nicehelpful",4
"noise",4
"none",4
"nowis",4
"offauspiciuos",4
"offhome",4
"offhomeward",4
"ofsidewalk",4
"onpower",4
"onsidewalk",4
"ontheysomethinganyone",4
"ontohorns",4
"overroads",4
"packed",4
"pairing",4
"parton",4
"perfect",4
"pets",4
"photo",4
"pies",4
"placed",4
"plane",4
"planning",4
"plantoffsandwich",4
"play",4
"policies",4
"pollback",4
"pot",4
"priorities",4
"private",4
"programme",4
"proposal",4
"provide",4
"puzzle",4
"quiet",4
"rd",4
"reality",4
"reallywall",4
"reeling",4
"renewable",4
"replacing",4
"reservoirs",4
"restaurant",4
"ridiculous",4
"rip",4
"ripe",4
"rodeo",4
"roof",4
"safeoffsandwich",4
"saheve",4
"sam",4
"sandra",4
"saving",4
"sawguy",4
"sawmakingmakeshift",4
"sawplace",4
"sawroads",4
"sayhave",4
"saysfamily",4
"scary",4
"schooled",4
"scream",4
"section",4
"seriously",4
"serve",4
"server",4
"services",4
"sheep",4
"sheetrock",4
